Frame,Predicted,Confidence,LowConfidence,TrueLabel,Timestamp
battery_1.jpg,Battery,0.9999,False,battery,2025-11-03 16:28:37
battery_10.jpg,Battery,1.0,False,battery,2025-11-03 16:28:38
battery_100.jpg,Battery,1.0,False,battery,2025-11-03 16:28:40
battery_101.jpg,Battery,0.9999,False,battery,2025-11-03 16:28:41
battery_102.jpg,Battery,1.0,False,battery,2025-11-03 16:28:42
battery_103.jpg,Battery,0.7723,True,battery,2025-11-03 16:28:43
battery_104.jpg,Battery,1.0,False,battery,2025-11-03 16:28:44
battery_105.jpg,Battery,1.0,False,battery,2025-11-03 16:28:45
battery_106.jpg,Battery,0.9996,False,battery,2025-11-03 16:28:46
battery_107.jpg,Battery,0.9057,False,battery,2025-11-03 16:28:47
battery_108.jpg,Battery,0.9999,False,battery,2025-11-03 16:28:48
battery_109.jpg,Battery,1.0,False,battery,2025-11-03 16:28:49
battery_11.jpg,Battery,0.9995,False,battery,2025-11-03 16:28:51
battery_110.jpg,Battery,1.0,False,battery,2025-11-03 16:28:52
battery_111.jpg,Battery,0.9985,False,battery,2025-11-03 16:28:53
battery_112.jpg,Battery,0.9995,False,battery,2025-11-03 16:28:54
battery_113.jpg,Battery,0.9999,False,battery,2025-11-03 16:28:55
battery_114.jpg,Battery,1.0,False,battery,2025-11-03 16:28:56
battery_115.jpg,Battery,0.9999,False,battery,2025-11-03 16:28:57
battery_116.jpg,Battery,1.0,False,battery,2025-11-03 16:28:58
battery_117.jpg,Battery,0.9998,False,battery,2025-11-03 16:28:59
battery_118.jpg,Battery,0.9999,False,battery,2025-11-03 16:29:00
battery_119.jpg,Battery,0.9997,False,battery,2025-11-03 16:29:01
battery_12.jpg,Battery,1.0,False,battery,2025-11-03 16:29:02
battery_120.jpg,Battery,1.0,False,battery,2025-11-03 16:29:03
battery_121.jpg,Battery,0.9997,False,battery,2025-11-03 16:29:04
battery_122.jpg,Battery,0.9972,False,battery,2025-11-03 16:29:05
battery_123.jpg,Battery,0.9996,False,battery,2025-11-03 16:29:06
battery_124.jpg,Battery,1.0,False,battery,2025-11-03 16:29:07
battery_125.jpg,Battery,0.9975,False,battery,2025-11-03 16:29:08
battery_126.jpg,Battery,1.0,False,battery,2025-11-03 16:29:10
battery_127.jpg,Battery,1.0,False,battery,2025-11-03 16:29:11
battery_128.jpg,Battery,0.9979,False,battery,2025-11-03 16:29:12
battery_129.jpg,Battery,1.0,False,battery,2025-11-03 16:29:13
battery_13.jpg,Trash,0.714,True,battery,2025-11-03 16:29:14
battery_130.jpg,Battery,0.9999,False,battery,2025-11-03 16:29:15
battery_131.jpg,Battery,0.9953,False,battery,2025-11-03 16:29:16
battery_132.jpg,Battery,1.0,False,battery,2025-11-03 16:29:17
battery_133.jpg,Battery,0.9996,False,battery,2025-11-03 16:29:18
battery_134.jpg,Battery,0.9723,False,battery,2025-11-03 16:29:19
battery_135.jpg,Battery,0.9996,False,battery,2025-11-03 16:29:20
battery_136.jpg,Battery,0.9996,False,battery,2025-11-03 16:29:22
battery_137.jpg,Battery,1.0,False,battery,2025-11-03 16:29:23
battery_138.jpg,Battery,1.0,False,battery,2025-11-03 16:29:24
battery_139.jpg,Battery,1.0,False,battery,2025-11-03 16:29:25
battery_14.jpg,Battery,1.0,False,battery,2025-11-03 16:29:26
battery_140.jpg,Battery,0.9991,False,battery,2025-11-03 16:29:27
battery_141.jpg,Battery,1.0,False,battery,2025-11-03 16:29:28
battery_142.jpg,Battery,0.9915,False,battery,2025-11-03 16:29:29
battery_143.jpg,Battery,1.0,False,battery,2025-11-03 16:29:30
battery_144.jpg,Battery,0.9998,False,battery,2025-11-03 16:29:31
battery_145.jpg,Battery,0.7337,True,battery,2025-11-03 16:29:33
battery_146.jpg,Battery,1.0,False,battery,2025-11-03 16:29:34
battery_147.jpg,Battery,0.9997,False,battery,2025-11-03 16:29:35
battery_148.jpg,Battery,0.9999,False,battery,2025-11-03 16:29:36
battery_149.jpg,Battery,1.0,False,battery,2025-11-03 16:29:37
battery_15.jpg,Battery,0.999,False,battery,2025-11-03 16:29:38
battery_150.jpg,Battery,0.9999,False,battery,2025-11-03 16:29:39
battery_151.jpg,Battery,0.9987,False,battery,2025-11-03 16:29:40
battery_152.jpg,Battery,0.9999,False,battery,2025-11-03 16:29:41
battery_153.jpg,Battery,1.0,False,battery,2025-11-03 16:29:42
battery_154.jpg,Battery,0.9996,False,battery,2025-11-03 16:29:43
battery_155.jpg,Battery,0.998,False,battery,2025-11-03 16:29:44
battery_156.jpg,Battery,0.9999,False,battery,2025-11-03 16:29:45
battery_157.jpg,Battery,1.0,False,battery,2025-11-03 16:29:46
battery_158.jpg,Battery,0.9999,False,battery,2025-11-03 16:29:47
battery_159.jpg,Battery,1.0,False,battery,2025-11-03 16:29:48
battery_16.jpg,Battery,1.0,False,battery,2025-11-03 16:29:49
battery_160.jpg,Battery,0.9999,False,battery,2025-11-03 16:29:51
battery_161.jpg,Battery,0.856,False,battery,2025-11-03 16:29:52
battery_162.jpg,Battery,0.9999,False,battery,2025-11-03 16:29:53
battery_163.jpg,Battery,0.9999,False,battery,2025-11-03 16:29:54
battery_164.jpg,Battery,0.9998,False,battery,2025-11-03 16:29:55
battery_165.jpg,Battery,0.9978,False,battery,2025-11-03 16:29:56
battery_166.jpg,Battery,0.9936,False,battery,2025-11-03 16:29:57
battery_167.jpg,Battery,0.9997,False,battery,2025-11-03 16:29:58
battery_168.jpg,Battery,1.0,False,battery,2025-11-03 16:29:59
battery_169.jpg,Battery,1.0,False,battery,2025-11-03 16:30:00
battery_17.jpg,Battery,0.9973,False,battery,2025-11-03 16:30:01
battery_170.jpg,Battery,0.9988,False,battery,2025-11-03 16:30:02
